features  importance
0                  user_app_launch_ratio_b6_resInv    0.239464
1                  user_app_launch_ratio_b8_resInv    0.239148
2                  user_app_launch_ratio_b9_resInv    0.238044
3                  user_app_launch_ratio_b7_resInv    0.236922
4                  user_app_launch_ratio_b4_resInv    0.236907
5                 user_app_launch_ratio_b10_resInv    0.236874
6                  user_app_launch_ratio_b5_resInv    0.236350
7                 user_app_launch_ratio_b11_resInv    0.233210
8                          user_app_launch_rate_b5    0.231798
9                          user_app_launch_rate_b4    0.231529
10                         user_app_launch_rate_b6    0.229879
11                 user_app_launch_ratio_b3_resInv    0.229471
12                        user_app_launch_ratio_b5    0.229204
13                        user_app_launch_ratio_b4    0.228837
14                        user_app_launch_ratio_b6    0.227848
15                         user_app_launch_rate_b3    0.227424
16                         user_app_launch_rate_b7    0.226512
17                        user_app_launch_ratio_b3    0.224833
18                 user_app_launch_ratio_b2_resInv    0.224524
19                        user_app_launch_ratio_b7    0.224193
20                         user_app_launch_rate_b8    0.222054
21                        user_app_launch_ratio_b2    0.221990
22                  user_app_launch_rate_f0_resInv    0.221306
23                          user_app_launch_gap_b6    0.220800
24                        user_app_launch_ratio_b8    0.220633
25                         user_app_launch_rate_b2    0.220227
26                       user_user_activity_day_b5    0.218484
27                       user_user_activity_day_b6    0.217844
28                       user_user_activity_day_b4    0.217400
29                         user_app_launch_rate_b9    0.216021
30                 user_app_launch_ratio_f0_resInv    0.215919
31                       user_user_activity_day_b7    0.215837
32                 user_app_launch_rate_b11_resInv    0.215412
33                          user_app_launch_gap_b9    0.214534
34                 user_app_launch_rate_b10_resInv    0.214193
35                        user_app_launch_ratio_b9    0.214187
36                       user_user_activity_day_b3    0.214119
37                        user_app_launch_ratio_f1    0.214116
38                       user_user_activity_day_b8    0.213150
39                       user_user_activity_gap_b6    0.211732
40                 user_app_launch_ratio_f1_resInv    0.211699
41                 user_app_launch_ratio_b1_resInv    0.211197
42                  user_app_launch_rate_b9_resInv    0.210497
43                  user_app_launch_rate_b8_resInv    0.209604
44                          user_app_launch_gap_b3    0.209561
45                        user_app_launch_ratio_b1    0.209320
46                user_user_activity_day_f0_resInv    0.209285
47                        user_app_launch_rate_b10    0.208170
48                       user_user_activity_gap_b9    0.207587
49                        user_app_launch_ratio_f2    0.207575
50                       user_app_launch_ratio_b10    0.207295
51                       user_user_activity_day_b9    0.206927
52                  user_app_launch_rate_b7_resInv    0.206800
53                  user_app_launch_rate_b6_resInv    0.206541
54               user_user_activity_day_b11_resInv    0.205840
55                         user_app_launch_rate_b1    0.205501
56               user_user_activity_day_b10_resInv    0.205012
