                                          features  importance
0                           user_app_launch_gap_b3    0.530244
1                          user_app_launch_rate_b3    0.157974
2                          user_app_launch_rate_b4    0.120180
3                       user_user_activity_rate_b0    0.104009
4                              user_app_launch_max    0.097912
5                          user_app_launch_rate_b1    0.087829
6                 user_user_activity_day_f0_resInv    0.074809
7                       user_user_activity_rate_b1    0.074448
8                          user_app_launch_rate_b9    0.070528
9              user_app_launch_register_type_ratio    0.069574
10                  user_app_launch_rate_f0_resInv    0.065782
11                       user_user_activity_gap_b6    0.060296
12            user_user_activity_device_type_ratio    0.057250
13                         user_app_launch_rate_b5    0.051455
14          user_user_activity_register_type_ratio    0.050832
15                          user_app_launch_gap_b6    0.049792
16                         user_app_launch_rate_b6    0.046228
17                         user_app_launch_var_b12    0.044875
18                          user_app_launch_var_b3    0.042673
19               user_app_launch_device_type_ratio    0.042528
20                       user_user_activity_day_b1    0.041332
21                         user_app_launch_rate_b7    0.039603
22                        user_app_launch_autocorr    0.038434
23                          user_video_rate_resInv    0.038393
24                         user_app_launch_rate_b2    0.037360
25                                user_page1_ratio    0.034309
26               user_user_activity_rate_b9_resInv    0.031667
27                        user_page1_action0_ratio    0.028911
28                     user_user_activity_ratio_f1    0.028807
29                 user_app_launch_ratio_b3_resInv    0.028797
30                         user_app_launch_rate_b8    0.027625
31                user_user_activity_day_b6_resInv    0.027345
32                            register_type_device    0.026384
33                          user_app_launch_var_b9    0.025913
34                         user_author_rate_resInv    0.025536
35                        user_page0_action1_ratio    0.025421
36                                 user_video_rate    0.025384
37                      user_user_activity_rate_b7    0.025130
38                     user_user_activity_rate_b11    0.025070
39                     user_app_launch_mean_change    0.024062
40                         register_day_type_ratio    0.023345
41                       user_user_activity_day_b3    0.023120
42                  user_app_launch_rate_f2_resInv    0.022696
43                             user_app_launch_gap    0.021421
44                      device_type_register_ratio    0.021278
45               user_user_activity_rate_b7_resInv    0.020237
46               user_user_activity_rate_b0_resInv    0.020225
47           user_app_launch_device_register_ratio    0.020112
48                      user_user_activity_rate_b9    0.020065
49                       user_user_activity_day_b7    0.019042
50                         user_app_launch_gap_b12    0.018821
51                        user_app_launch_rate_b10    0.018598
52                      user_user_activity_rate_f0    0.018100
53                      user_user_activity_rate_b4    0.017793
54                        user_app_launch_ratio_f1    0.017660
55        user_user_activity_device_register_ratio    0.017615
56                          user_app_launch_var_b6    0.017573
57                  user_app_launch_rate_b7_resInv    0.017163
58                          user_app_launch_cid_ce    0.016759
59                        user_action0_page3_ratio    0.015998
60                             user_app_launch_var    0.015483
61                       user_user_activity_gap_b3    0.015217
62                       user_user_activity_day_b4    0.014712
63                             user_app_launch_cbm    0.013700
64                 user_app_launch_ratio_f2_resInv    0.013664
65                        user_app_launch_ratio_b9    0.013366
66              user_user_activity_ratio_f2_resInv    0.012875
67                       user_app_launch_last_time    0.012529
68              user_user_activity_ratio_b3_resInv    0.012100
69                       user_user_activity_cid_ce    0.012002
70                        user_app_launch_ratio_b5    0.011994
71                   user_app_launch_register_time    0.011774
72                      user_user_activity_rate_b3    0.011660
73           user_app_launch_register_device_ratio    0.011586
74                       user_user_activity_var_b3    0.011138
75                 user_app_launch_ratio_f4_resInv    0.011006
76      user_app_launch_workday_weekend_rate_ratio    0.010966
77                       user_user_activity_gap_b9    0.010896
78                               device_type_ratio    0.010703
79                        user_app_launch_ratio_b4    0.010618
80                        user_action0_page1_ratio    0.010579
81              user_user_activity_rate_b11_resInv    0.010513
82                       user_user_activity_day_f0    0.010350
83                        user_app_launch_rate_b11    0.010310
84                       register_day_device_ratio    0.009900
85                  user_app_launch_rate_f3_resInv    0.009848
86                                user_video_ratio    0.009804
87                              video_author_ratio    0.009730
88                 user_user_activity_workday_rate    0.009693
89                       user_app_launch_ratio_b10    0.009567
90                  user_user_activity_weekend_day    0.009536
91                         user_action_type0_ratio    0.009523
92                        user_action0_page2_ratio    0.009430
93                      user_user_activity_gap_b12    0.009397
94                     user_user_activity_autocorr    0.009345
95                             register_type_ratio    0.009300
96              user_user_activity_ratio_f3_resInv    0.009036
97         register_day_register_type_device_ratio    0.008975
98                      user_user_activity_day_var    0.008921
99                 user_app_launch_ratio_f0_resInv    0.008788
100                user_user_activity_weekend_rate    0.008728
101                       user_page0_action3_ratio    0.008586
102                               user_page3_ratio    0.008460
103                               user_author_rate    0.008397
104                 user_app_launch_rate_b5_resInv    0.008108
105                 user_user_activity_day_var_b12    0.008053
106                       user_page0_action2_ratio    0.008027
107                     user_user_activity_rate_b8    0.007999
108                user_user_activity_frequency_b1    0.007796
109                         user_user_activity_cbm    0.007400
110             user_user_activity_ratio_f1_resInv    0.007342
111                         user_app_launch_gap_b9    0.007111
112                       user_page0_action0_ratio    0.006905
113                     user_user_activity_rate_b2    0.006900
114             user_user_activity_rate_b10_resInv    0.006810
115              user_user_activity_rate_b1_resInv    0.006556
116              user_user_activity_rate_b4_resInv    0.006554
117                               user_page2_ratio    0.006508
118                   user_app_launch_workday_rate    0.006392
119                         user_user_activity_gap    0.006263
120                     register_type_device_ratio    0.006197
121                   user_app_launch_weekend_rate    0.005908
122  user_user_activity_workday_weekend_rate_ratio    0.005807
123        register_day_device_type_register_ratio    0.005525
124                        user_app_launch_rate_f3    0.005506
125                        user_user_activity_lsam    0.005403
126                user_app_launch_ratio_f1_resInv    0.005333
127   user_user_activity_workday_weekend_day_ratio    0.005273
128                               user_page4_ratio    0.005133
129                       user_app_launch_ratio_b2    0.005086
130                        user_app_launch_rate_f0    0.005070
131                       user_page3_action1_ratio    0.005044
132                        user_user_activity_lsbm    0.005025
133                    user_user_activity_ratio_f2    0.004913
134                      user_user_activity_day_b8    0.004888
135                     user_user_activity_rate_b5    0.004840
136                        user_app_launch_rate_f4    0.004770
137              user_user_activity_rate_b5_resInv    0.004657
138       user_user_activity_register_device_ratio    0.004618
139                       user_action2_page2_ratio    0.004616
140                           user_app_launch_tras    0.004590
141                     user_user_activity_mod_var    0.004457
142                       user_page3_action2_ratio    0.004436
143                            user_app_launch_cam    0.004421
144                user_app_launch_ratio_f3_resInv    0.004331
145                  user_user_activity_abs_energy    0.004268
146              user_user_activity_rate_b2_resInv    0.004224
147                       user_action2_page3_ratio    0.004160
148                   user_user_activity_ratio_b11    0.004147
149               user_user_activity_day_f1_resInv    0.004004
150                        user_app_launch_rate_f1    0.003916
151              user_user_activity_rate_f0_resInv    0.003888
152                     user_user_activity_day_b11    0.003836
153          user_video_create_register_type_ratio    0.003769
154                       user_app_launch_ratio_f5    0.003617
155                 user_app_launch_rate_f1_resInv    0.003608
156                     user_video_create_ratio_b0    0.003582
157                     user_user_activity_rate_b6    0.003576
158                user_app_launch_ratio_f5_resInv    0.003431
159                 user_app_launch_rate_f4_resInv    0.003425
160                 user_app_launch_rate_b0_resInv    0.003421
161                  user_user_activity_day_var_b6    0.003346
162                user_user_activity_frequency_f2    0.003335
163                       user_action1_page1_ratio    0.003295
164              user_user_activity_rate_b3_resInv    0.003231
165                       user_action0_page0_ratio    0.003225
166                         user_user_activity_var    0.003204
167                    user_user_activity_ratio_b7    0.003198
168                 user_app_launch_rate_b3_resInv    0.003188
169              user_video_create_ratio_b0_resInv    0.003144
170                       user_action0_page4_ratio    0.003113
171               user_video_create_rate_b3_resInv    0.003103
172                           user_app_launch_bent    0.003087
173                     user_app_launch_abs_energy    0.003001
174                       user_page3_action3_ratio    0.002993
175                 user_user_activity_mean_change    0.002976
176                              user_author_ratio    0.002866
177                       user_action2_page0_ratio    0.002850
178                       user_page3_action0_ratio    0.002738
179                         user_user_activity_max    0.002719
180             user_user_activity_ratio_f4_resInv    0.002682
181                      user_user_activity_day_f3    0.002654
182                 user_app_launch_rate_b9_resInv    0.002646
183              user_user_activity_rate_f5_resInv    0.002628
184                            user_in_author_rate    0.002627
185                user_app_launch_rate_b11_resInv    0.002604
186                      user_video_create_rate_b0    0.002565
187                      user_user_activity_var_b6    0.002546
188                       user_page1_action1_ratio    0.002527
189                user_user_activity_frequency_b2    0.002517
190                      user_user_activity_day_f2    0.002515
191                    user_user_activity_kurtosis    0.002507
192              user_user_activity_day_b11_resInv    0.002463
193                      user_video_create_rate_b3    0.002438
194               user_user_activity_day_f3_resInv    0.002380
195                       user_action3_page3_ratio    0.002302
196                       user_page2_action0_ratio    0.002296
197                    user_user_activity_ratio_b9    0.002285
198                     user_user_activity_rate_f1    0.002257
199                       user_page2_action1_ratio    0.002253
200        user_video_create_device_register_ratio    0.002230
201                        user_user_activity_rbrs    0.002210
202                 user_app_launch_rate_b2_resInv    0.002208
203                    user_user_activity_ratio_b0    0.002159
204              user_user_activity_rate_f1_resInv    0.002153
205                user_user_activity_frequency_f4    0.002147
206               user_user_activity_day_f2_resInv    0.002135
207                 user_video_create_frequency_b3    0.002117
208                user_user_activity_frequency_f0    0.002110
209                       user_action1_page0_ratio    0.002095
210                user_app_launch_rate_b10_resInv    0.002074
211                user_app_launch_ratio_b6_resInv    0.002052
212                        user_user_activity_tras    0.002050
213                      user_user_activity_var_b9    0.002036
214                    user_user_activity_rate_b10    0.002032
215           user_user_activity_weekend_frequency    0.001993
216                           user_app_launch_mean    0.001986
217                user_user_activity_frequency_b9    0.001945
218                    user_user_activity_ratio_f4    0.001902
219              user_user_activity_day_b10_resInv    0.001901
220                    user_user_activity_ratio_b8    0.001899
221                       user_app_launch_ratio_b3    0.001881
222             user_user_activity_ratio_b5_resInv    0.001875
223                user_user_activity_frequency_b3    0.001864
224                       user_action1_page2_ratio    0.001833
225                       user_action1_page3_ratio    0.001831
226                        user_user_activity_bent    0.001829
227                                   register_day    0.001823
228              user_user_activity_rate_b8_resInv    0.001773
229                user_app_launch_ratio_b0_resInv    0.001749
230                user_app_launch_ratio_b4_resInv    0.001714
231                 user_app_launch_rate_b8_resInv    0.001707
232                       user_app_launch_ratio_b8    0.001694
233               user_app_launch_ratio_b10_resInv    0.001670
234                      user_user_activity_day_b6    0.001653
235                    user_user_activity_ratio_f5    0.001651
236                      user_user_activity_day_b2    0.001648
237                      user_video_create_rate_b6    0.001636
238                      user_user_activity_day_b9    0.001616
239                     user_user_activity_var_b12    0.001598
