feature importance of lgb for kuaishou ,2018-06-20_10-16
user_app_launch_count_b1,93
user_app_launch_count_b10,56
user_app_launch_count_b5,54
user_activity_count_b4,47
user_activity_rate,44
user_app_launch_count_b2,42
user_app_launch_var,37
user_activity_day_ratio,29
user_app_launch_ratio,24
user_app_launch_count_b4,21
user_app_launch_count_b9,17
user_app_launch_count_b6,17
user_app_launch_count_b3,16
user_activity_day_var,15
user_app_launch_count_b8,12
user_activity_count_b6,12
user_activity_var,10
user_activity_count_b7,8
user_activity_count_b5,8
user_activity_count_b1,8
user_activity_count_b8,7
user_video_num,6
user_app_launch_count_rb3,3
user_app_launch_count_rb1,3
user_app_launch_count_b7,2
user_activity_count_b9,2
user_app_launch_rate,1
user_app_launch_count_rf1,1
user_activity_count_rb6,1
user_activity_count_rb5,1
user_activity_count_rb1,1
user_activity_count_b3,1
user_activity_count_b10,1
user_video_num_ratio,0
user_video_create_var,0
user_video_create_ratio,0
user_video_create_rate,0
user_video_create_last_time,0
user_video_create_gap,0
user_video_create_frequency,0
user_video_create_day_var,0
user_video_create_day_ratio,0
user_video_create_day,0
user_video_create_count_rf5,0
user_video_create_count_rf4,0
user_video_create_count_rf3,0
user_video_create_count_rf2,0
user_video_create_count_rf1,0
user_video_create_count_rb7,0
user_video_create_count_rb6,0
user_video_create_count_rb5,0
user_video_create_count_rb4,0
user_video_create_count_rb3,0
user_video_create_count_rb2,0
user_video_create_count_rb1,0
user_video_create_count_f5,0
user_video_create_count_f4,0
user_video_create_count_f3,0
user_video_create_count_f2,0
user_video_create_count_f1,0
user_video_create_count_b7,0
user_video_create_count_b6,0
user_video_create_count_b5,0
user_video_create_count_b4,0
user_video_create_count_b3,0
user_video_create_count_b2,0
user_video_create_count_b1,0
user_user_activity_last_time,0
user_page_ratio4,0
user_page_ratio3,0
user_page_ratio2,0
user_page_ratio1,0
user_page_ratio0,0
user_page_num,0
user_page_day_ratio,0
user_in_author,0
user_author_num_ratio,0
user_author_num,0
user_app_launch_last_time,0
user_app_launch_gap,0
user_app_launch_count_rf7,0
user_app_launch_count_rf6,0
user_app_launch_count_rf5,0
user_app_launch_count_rf4,0
user_app_launch_count_rf3,0
user_app_launch_count_rf2,0
user_app_launch_count_rb9,0
user_app_launch_count_rb8,0
user_app_launch_count_rb7,0
user_app_launch_count_rb6,0
user_app_launch_count_rb5,0
user_app_launch_count_rb4,0
user_app_launch_count_rb2,0
user_app_launch_count_rb10,0
user_app_launch_count_f7,0
user_app_launch_count_f6,0
user_app_launch_count_f5,0
user_app_launch_count_f4,0
user_app_launch_count_f3,0
user_app_launch_count_f2,0
user_app_launch_count_f1,0
user_activity_ratio,0
user_activity_gap,0
user_activity_frequency,0
user_activity_day_rate,0
user_activity_count_rf7,0
user_activity_count_rf6,0
user_activity_count_rf5,0
user_activity_count_rf4,0
user_activity_count_rf3,0
user_activity_count_rf2,0
user_activity_count_rf1,0
user_activity_count_rb9,0
user_activity_count_rb8,0
user_activity_count_rb7,0
user_activity_count_rb4,0
user_activity_count_rb3,0
user_activity_count_rb2,0
user_activity_count_rb10,0
user_activity_count_f7,0
user_activity_count_f6,0
user_activity_count_f5,0
user_activity_count_f4,0
user_activity_count_f3,0
user_activity_count_f2,0
user_activity_count_f1,0
user_activity_count_b2,0
user_action_type_ratio5,0
user_action_type_ratio4,0
user_action_type_ratio3,0
user_action_type_ratio2,0
user_action_type_ratio1,0
user_action_type_ratio0,0
user_action_type_num,0
register_type_ratio,0
register_type_device_ratio,0
register_type_device,0
register_day_type_ratio,0
register_day_type_rate,0
register_day_register_type_device_ratio,0
register_day_device_type_register_ratio,0
register_day_device_ratio,0
register_day_device_rate,0
device_type_register_ratio,0
device_type_ratio,0
feature importance of lgb for kuaishou ,2018-06-20_10-17
user_app_launch_count_b1,93
user_app_launch_count_b10,56
user_app_launch_count_b5,54
user_activity_count_b4,47
user_activity_rate,44
user_app_launch_count_b2,42
user_app_launch_var,37
user_activity_day_ratio,29
user_app_launch_ratio,24
user_app_launch_count_b4,21
user_app_launch_count_b9,17
user_app_launch_count_b6,17
user_app_launch_count_b3,16
user_activity_day_var,15
user_app_launch_count_b8,12
user_activity_count_b6,12
user_activity_var,10
user_activity_count_b7,8
user_activity_count_b5,8
user_activity_count_b1,8
user_activity_count_b8,7
user_video_num,6
user_app_launch_count_rb3,3
user_app_launch_count_rb1,3
user_app_launch_count_b7,2
user_activity_count_b9,2
user_app_launch_rate,1
user_app_launch_count_rf1,1
user_activity_count_rb6,1
user_activity_count_rb5,1
user_activity_count_rb1,1
user_activity_count_b3,1
user_activity_count_b10,1
user_video_num_ratio,0
user_video_create_var,0
user_video_create_ratio,0
user_video_create_rate,0
user_video_create_last_time,0
user_video_create_gap,0
user_video_create_frequency,0
user_video_create_day_var,0
user_video_create_day_ratio,0
user_video_create_day,0
user_video_create_count_rf5,0
user_video_create_count_rf4,0
user_video_create_count_rf3,0
user_video_create_count_rf2,0
user_video_create_count_rf1,0
user_video_create_count_rb7,0
user_video_create_count_rb6,0
user_video_create_count_rb5,0
user_video_create_count_rb4,0
user_video_create_count_rb3,0
user_video_create_count_rb2,0
user_video_create_count_rb1,0
user_video_create_count_f5,0
user_video_create_count_f4,0
user_video_create_count_f3,0
user_video_create_count_f2,0
user_video_create_count_f1,0
user_video_create_count_b7,0
user_video_create_count_b6,0
user_video_create_count_b5,0
user_video_create_count_b4,0
user_video_create_count_b3,0
user_video_create_count_b2,0
user_video_create_count_b1,0
user_user_activity_last_time,0
user_page_ratio4,0
user_page_ratio3,0
user_page_ratio2,0
user_page_ratio1,0
user_page_ratio0,0
user_page_num,0
user_page_day_ratio,0
user_in_author,0
user_author_num_ratio,0
user_author_num,0
user_app_launch_last_time,0
user_app_launch_gap,0
user_app_launch_count_rf7,0
user_app_launch_count_rf6,0
user_app_launch_count_rf5,0
user_app_launch_count_rf4,0
user_app_launch_count_rf3,0
user_app_launch_count_rf2,0
user_app_launch_count_rb9,0
user_app_launch_count_rb8,0
user_app_launch_count_rb7,0
user_app_launch_count_rb6,0
user_app_launch_count_rb5,0
user_app_launch_count_rb4,0
user_app_launch_count_rb2,0
user_app_launch_count_rb10,0
user_app_launch_count_f7,0
user_app_launch_count_f6,0
user_app_launch_count_f5,0
user_app_launch_count_f4,0
user_app_launch_count_f3,0
user_app_launch_count_f2,0
user_app_launch_count_f1,0
user_activity_ratio,0
user_activity_gap,0
user_activity_frequency,0
user_activity_day_rate,0
user_activity_count_rf7,0
user_activity_count_rf6,0
user_activity_count_rf5,0
user_activity_count_rf4,0
user_activity_count_rf3,0
user_activity_count_rf2,0
user_activity_count_rf1,0
user_activity_count_rb9,0
user_activity_count_rb8,0
user_activity_count_rb7,0
user_activity_count_rb4,0
user_activity_count_rb3,0
user_activity_count_rb2,0
user_activity_count_rb10,0
user_activity_count_f7,0
user_activity_count_f6,0
user_activity_count_f5,0
user_activity_count_f4,0
user_activity_count_f3,0
user_activity_count_f2,0
user_activity_count_f1,0
user_activity_count_b2,0
user_action_type_ratio5,0
user_action_type_ratio4,0
user_action_type_ratio3,0
user_action_type_ratio2,0
user_action_type_ratio1,0
user_action_type_ratio0,0
user_action_type_num,0
register_type_ratio,0
register_type_device_ratio,0
register_type_device,0
register_day_type_ratio,0
register_day_type_rate,0
register_day_register_type_device_ratio,0
register_day_device_type_register_ratio,0
register_day_device_ratio,0
register_day_device_rate,0
device_type_register_ratio,0
device_type_ratio,0
the best params for lightgbm: 
colsample_bytree,0.9956575704604527
learning_rate,0.03640520807213964
max_bin,207
min_child_samples,78
min_child_weight,0.23740522733908753
min_split_gain,0.0004147079426427973
n_estimators,266
num_leaves,12
reg_alpha,271.01549892268713
reg_lambda,0.0001118074055642654
scale_pos_weight,0.999027580394896
subsample,0.9090257022233618
the best score for lightgbm: ,0.8040985678282353,2018-06-20_10-42
feature importance of lgb for kuaishou ,2018-06-20_10-53
user_app_launch_var,169
user_app_launch_count_b1,155
user_activity_var,138
user_activity_rate,103
user_activity_day_var,97
user_activity_day_ratio,96
user_app_launch_count_rb1,89
user_activity_count_b1,87
user_app_launch_rate,81
user_page_ratio3,79
user_app_launch_ratio,77
user_app_launch_count_b10,77
user_activity_count_b4,77
user_app_launch_count_b5,75
user_app_launch_count_b2,73
user_activity_day_rate,70
user_activity_count_b5,68
register_type_device,59
user_app_launch_gap,57
user_app_launch_count_b3,57
user_app_launch_count_b6,52
user_activity_count_b6,52
register_type_ratio,51
user_activity_count_b8,50
user_activity_count_b10,50
register_day_type_ratio,47
user_app_launch_count_b9,46
user_video_num,41
user_activity_count_f1,40
user_app_launch_count_b4,38
register_day_device_ratio,37
user_app_launch_count_rf1,36
user_video_create_count_rb7,30
user_app_launch_count_rb10,30
user_action_type_ratio1,30
user_action_type_ratio0,30
user_action_type_ratio3,29
user_app_launch_count_b8,27
device_type_ratio,27
user_author_num_ratio,25
register_day_type_rate,24
user_activity_count_b3,23
user_activity_count_b7,22
user_activity_count_rb5,20
user_activity_count_rb1,19
user_activity_count_b9,18
user_action_type_ratio2,18
user_app_launch_count_rf7,16
user_activity_count_f2,16
user_activity_count_b2,15
user_app_launch_count_rf4,13
user_app_launch_count_rb9,12
user_app_launch_count_f1,11
user_app_launch_count_rf6,10
user_video_create_ratio,8
user_video_create_day_ratio,8
user_activity_count_rb10,8
user_video_create_count_rf2,7
user_page_day_ratio,7
user_activity_gap,7
user_activity_count_rb6,6
user_video_create_count_rf1,5
user_author_num,5
user_activity_count_rb7,5
device_type_register_ratio,5
user_page_ratio1,4
user_app_launch_count_rf3,4
user_app_launch_count_rf2,4
user_app_launch_count_rb7,4
user_app_launch_count_rb2,4
user_app_launch_count_f4,4
user_app_launch_count_b7,3
user_activity_count_rf1,3
user_video_create_gap,2
user_video_create_count_rb6,2
user_video_create_count_rb5,2
user_app_launch_count_rf5,2
user_app_launch_count_rb8,2
user_activity_frequency,2
user_activity_count_rf2,2
user_activity_count_rb9,2
user_activity_count_rb4,2
user_activity_count_rb2,2
user_video_num_ratio,1
user_video_create_count_rb4,1
user_video_create_count_rb3,1
user_video_create_count_b7,1
user_video_create_count_b4,1
user_page_ratio0,1
user_app_launch_count_f5,1
user_app_launch_count_f3,1
user_activity_ratio,1
user_activity_count_rf7,1
user_activity_count_rf5,1
user_activity_count_rf4,1
user_activity_count_rf3,1
user_activity_count_rb8,1
register_day_register_type_device_ratio,1
register_day_device_rate,1
user_video_create_var,0
user_video_create_rate,0
user_video_create_last_time,0
user_video_create_frequency,0
user_video_create_day_var,0
user_video_create_day,0
user_video_create_count_rf5,0
user_video_create_count_rf4,0
user_video_create_count_rf3,0
user_video_create_count_rb2,0
user_video_create_count_rb1,0
user_video_create_count_f5,0
user_video_create_count_f4,0
user_video_create_count_f3,0
user_video_create_count_f2,0
user_video_create_count_f1,0
user_video_create_count_b6,0
user_video_create_count_b5,0
user_video_create_count_b3,0
user_video_create_count_b2,0
user_video_create_count_b1,0
user_user_activity_last_time,0
user_page_ratio4,0
user_page_ratio2,0
user_page_num,0
user_in_author,0
user_app_launch_last_time,0
user_app_launch_count_rb6,0
user_app_launch_count_rb5,0
user_app_launch_count_rb4,0
user_app_launch_count_rb3,0
user_app_launch_count_f7,0
user_app_launch_count_f6,0
user_app_launch_count_f2,0
user_activity_count_rf6,0
user_activity_count_rb3,0
user_activity_count_f7,0
user_activity_count_f6,0
user_activity_count_f5,0
user_activity_count_f4,0
user_activity_count_f3,0
user_action_type_ratio5,0
user_action_type_ratio4,0
user_action_type_num,0
register_type_device_ratio,0
register_day_device_type_register_ratio,0
feature importance of lgb for kuaishou ,2018-06-20_11-19
user_app_launch_last_time,246
user_app_launch_var_b11,177
user_app_launch_gap_b5,156
user_app_launch_var,122
user_user_activity_day_var,96
register_type_device,94
user_user_activity_rate_spanInv,87
user_page_ratio3,84
user_app_launch_rate_b4,84
user_user_activity_day_resInv,73
user_user_activity_rate_b4_resInv,63
user_user_activity_frequency_b2,58
user_app_launch_rate_b10_resInv,57
user_user_activity_frequency_b4,53
user_app_launch_var_b8,50
register_day_type_ratio,50
user_video_create_rate_b6_resInv,49
user_app_launch_rate_spanResInv,49
user_user_activity_var,47
user_action_type_ratio0,47
register_type_ratio,45
user_app_launch_rate_b12,44
user_user_activity_day_spanResInv,36
user_video_rate_spanInv,35
user_app_launch_gap,35
user_user_activity_rate_b8,31
user_app_launch_rate_b2,31
user_user_activity_rate_b4,30
user_video_rate,29
user_user_activity_rate_b2,27
register_day_type_rate,27
user_user_activity_rate_f1,26
user_user_activity_rate_b6,26
user_user_activity_last_time,26
user_app_launch_var_b5,26
user_app_launch_rate_spanInv,24
register_day_device_ratio,24
user_video_rate_spanResInv,23
user_app_launch_rate_resInv,23
user_app_launch_rate_b2_resInv,23
user_action_type_ratio1,23
user_app_launch_rate_b12_resInv,22
user_user_activity_rate_b0,21
user_author_rate_spanResInv,21
user_action_type_ratio3,21
user_user_activity_rate_b10_resInv,20
user_user_activity_gap_b5,20
user_app_launch_rate_b6,20
user_user_activity_var_b11,19
user_user_activity_rate_b6_resInv,18
user_user_activity_day_spanInv,18
device_type_ratio,18
user_app_launch_rate_b0_resInv,17
user_action_type_ratio2,17
user_user_activity_day_b12_resInv,15
user_user_activity_var_b8,14
user_user_activity_frequency_b10,14
user_app_launch_rate_b8,13
user_user_activity_rate_b12,11
user_user_activity_frequency_b12,11
user_user_activity_gap_b8,10
user_user_activity_day_b2_resInv,10
user_user_activity_rate_spanResInv,9
user_user_activity_rate,9
user_user_activity_gap_b11,9
user_app_launch_rate,9
user_video_create_day_spanResInv,8
user_user_activity_rate_b12_resInv,8
user_user_activity_rate_b0_resInv,8
user_user_activity_day_f1_spanInv,8
user_author_rate_resInv,8
user_video_rate_resInv,7
user_video_create_rate_spanResInv,7
user_video_create_rate_resInv,7
user_user_activity_frequency_b6,7
user_user_activity_gap,6
