,user_id,register_day,register_type,device_type
count,51709,51709,51709,51709
mean,684582.7749,16.9296254,0.987468332,546.0313678
std,395996.4047,8.376128499,1.286641948,3812.778832
min,16,1,0,0
25%,342273,10,0,10
50%,683535,18,1,44
75%,1028267,24,1,205
max,1367534,30,11,93497
,user_id,register_day,register_type,device_type
count,51709,51709,51709,51709
unique,51709,,,3592
top,351708,,,0
freq,1,,,2366
mean,,16.9296254,0.987468332,
std,,8.376128499,1.286641948,
min,,1,0,
25%,,10,0,
50%,,18,1,
75%,,24,1,
max,,30,11,
,user_id,register_day,register_type,device_type
count,51709,51709,51709,51709
unique,51709,,,
top,442508,,,
freq,1,,,
mean,,16.9296254,0.987468332,1664.588408
std,,8.376128499,1.286641948,1110.426606
min,,1,0,0
25%,,10,0,641
50%,,18,1,1701
75%,,24,1,2616
max,,30,11,3591
,user_id,app_launch_day
count,251943,251943
unique,51709,30
top,819809,28
freq,30,15377
,user_id,app_launch_day
count,251943,251943.0
unique,51709,
top,1367044,
freq,30,
mean,,19.899735257578104
std,,7.470750189330552
min,,1.0
25%,,14.0
50%,,21.0
75%,,26.0
max,,30.0

,user_id,video_create_day
count,35151,35151
unique,7606,30
top,707895,28
freq,236,2248
,user_id,video_create_day
count,35151,35151.0
unique,7606,
top,707895,
freq,236,
mean,,19.31302096668658
std,,7.766420827480166
min,,1.0
25%,,14.0
50%,,21.0
75%,,26.0
max,,30.0
,user_id,user_activity_day,page,video_id,author_id,action_type
count,20607228,20607228,20607228,20607228,20607228,20607228
unique,43708,30,5,4466891,1322302,6
top,746672,28,0,1133473,176384,0
freq,37882,1422675,9573285,2205,28343,19798261
,user_id,user_activity_day,page,video_id,author_id,action_type
count,20607228.0,20607228.0,20607228.0,20607228.0,20607228.0,20607228.0
mean,688958.4142782814,20.398630034083187,1.3570053187163262,2230077.4551402545,681129.1786376606,0.05394228665786587
std,395999.8295831409,7.307697777802835,1.3922384860904158,1287195.6576218975,393714.859897196,0.2923931085927755
min,16.0,1.0,0.0,1.0,1.0,0.0
25%,346374.0,15.0,0.0,1118575.0,339422.0,0.0
50%,686061.0,22.0,1.0,2230922.0,678769.0,0.0
75%,1035607.0,27.0,3.0,3342757.0,1019466.0,0.0
max,1367534.0,30.0,4.0,4467106.0,1367536.0,5.0
feature importance of lgb for kuaishou_activeUser,2018-05-30_06-02
device_type_rate,1
register_day_rate,1
user_activity_day_rate,1
user_activity_gap,1
user_app_launch_gap,1
user_app_launch_rate,1
user_video_create_rate,2
user_activity_day,3
device_type_register,4
register_type_rate,5
user_video_create_gap,6
user_video_create_day,7
register_type_device,8
page_rate,9
author_id_video,10
page_action_type,11
author_id_user,12
author_id_rate,13
video_id_rate,14
video_id_action_type,15
video_id_user,16
action_type_page,17
action_type_rate,18
feature importance of catboost for tencent-crt,2018-05-31_20-20
user_activity_day,3572
device_type_rate,2986
register_day_rate,2648
user_activity_day_rate,1654
user_activity_gap,1531
register_type_rate,1220
user_app_launch_rate,1156
user_app_launch_gap,983
device_type_register,733
register_type_device,571
user_video_create_rate,267
user_video_create_gap,76
user_video_create_day,72
the best params for lightgbm: 
colsample_bytree,0.7160220704118669
learning_rate,9.845010366088032e-05
max_bin,118
max_depth,3
min_child_samples,159
min_child_weight,37.27464863177273
min_split_gain,0.9993030083890678
n_estimators,1796
num_leaves,64
reg_alpha,748.7493676129211
reg_lambda,0.3709847717071121
scale_pos_weight,0.9837399440777436
subsample,0.768453964477156
the best score for lightgbm: ,0.7883978632978078,2018-05-31_20-25
feature importance of catboost for tencent-crt,2018-05-31_20-32
user_activity_day,3572
device_type_rate,2986
register_day_rate,2648
user_activity_day_rate,1654
user_activity_gap,1531
register_type_rate,1220
user_app_launch_rate,1156
user_app_launch_gap,983
device_type_register,733
register_type_device,571
user_video_create_rate,267
user_video_create_gap,76
user_video_create_day,72
the best params for lightgbm: 
colsample_bytree,0.6505857121170904
learning_rate,1.306192211211503e-06
max_bin,121
max_depth,6
min_child_samples,125
min_child_weight,9.90447219849148
min_split_gain,0.005344707892045617
n_estimators,2313
num_leaves,22
reg_alpha,59.967711549800654
reg_lambda,976.6594840502858
scale_pos_weight,0.9975989782203639
subsample,0.6440166340114063
the best score for lightgbm: ,0.7730829423697154,2018-05-31_20-39
feature importance of catboost for tencent-crt,2018-05-31_21-01
user_activity_day,3572
device_type_rate,2986
register_day_rate,2648
user_activity_day_rate,1654
user_activity_gap,1531
register_type_rate,1220
user_app_launch_rate,1156
user_app_launch_gap,983
device_type_register,733
register_type_device,571
user_video_create_rate,267
user_video_create_gap,76
user_video_create_day,72
feature importance of catboost for tencent-crt,2018-05-31_21-48
register_day_rate,3379
user_author_id_num,1720
user_video_id_num,1673
user_activity_rate,1582
device_type_rate,1436
user_activity_frequency,1392
user_app_launch_register_mean_time,1247
user_activity_register_mean_time,1243
user_activity_day_rate,701
user_app_launch_rate,679
user_app_launch_gap,650
user_activity_gap,633
user_action_type_num,362
device_type_register,360
user_page_num,358
user_video_create_rate,355
register_type_rate,333
user_video_create_register_mean_time,272
register_type_device,272
user_video_create_gap,163
user_video_create_day,78
user_author_id_video_num,12
the best params for lightgbm: 
colsample_bytree,0.6190477100770616
learning_rate,7.476697767741703e-05
max_bin,194
max_depth,6
min_child_samples,244
min_child_weight,178.70779151449844
min_split_gain,0.0002001818573359312
n_estimators,1976
num_leaves,104
reg_alpha,538.6710667345538
reg_lambda,14.086683483381892
scale_pos_weight,0.9126911820346015
subsample,0.8411448774726458
the best score for lightgbm: ,0.8943242921950474,2018-05-31_22-26
feature importance of catboost for tencent-crt,2018-05-31_22-26
user_app_launch_rate,2284
user_activity_rate,2032
user_activity_day_rate,2004
user_video_id_num,1978
user_author_id_num,1501
user_activity_register_mean_time,1348
user_activity_frequency,986
register_type_device,579
user_app_launch_register_mean_time,576
user_app_launch_gap,559
user_activity_gap,540
user_page_num,292
user_action_type_num,35
user_author_id_video_num,15
user_video_create_register_mean_time,0
user_video_create_rate,0
user_video_create_gap,0
user_video_create_day,0
register_type_rate,0
register_day_rate,0
device_type_register,0
device_type_rate,0
feature importance of catboost for kuaishou-aup,2018-06-01_09-52
register_day_rate,14.28201936873467
user_activity_rate,8.81828213117876
user_app_launch_rate,8.240104077079035
user_author_id_num,7.457135759837369
user_video_id_num,7.407667145066964
user_activity_frequency,7.136232083284323
user_app_launch_register_mean_time,6.015678287615936
device_type_rate,5.960788049100151
